Molecule ChEMBL ID,Smiles,Actual pChEMBL,Predicted pChEMBL,Residuals,Leverage,NumSpiroAtoms,BCUT2D_MRLOW,MinAbsEStateIndex,PEOE_VSA10,VSA_EState5,VSA_EState8,EState_VSA6,EState_VSA7,EState_VSA5,PEOE_VSA12,VSA_EState9,fr_bicyclic,PEOE_VSA11,PEOE_VSA5,fr_unbrch_alkane,fr_aryl_methyl,fr_N_O,SlogP_VSA4,fr_para_hydroxylation,fr_morpholine,fr_Ar_NH,fr_hdrzone,fr_pyridine,fr_SH,NumAliphaticCarbocycles
CHEMBL4564332,Cc1cc(C)cc(C(=O)N(CCCCCC(=O)Nc2cc(-c3ccccc3)ccc2N)CC(=O)NCc2ccccc2)c1,5.74,5.756493333333302,-0.01649333333330194,0.018884754181974776,0.0,-0.12159325196441352,0.03157319890495547,0.0,-0.49553253441812584,4.696554352686149,10.966276799312087,104.84298042630543,0.0,11.814359458703011,0.0,0.0,0.0,0.0,2.0,2.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL4226175,O=C(CCCNC(=O)c1cc(-c2ccc(F)cc2)[nH]n1)NO,5.74,6.001936666666626,-0.2619366666666254,0.00660669114295009,0.0,-0.1287738339542609,0.10930052199217033,5.817220841045895,-1.2270547769663918,0.28273302625304764,18.19910120538483,0.0,17.612830735044422,5.907179729351506,0.0,0.0,5.693927994848461,0.0,0.0,0.0,1.0,5.817220841045895,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CHEMBL3655956,CC(Nc1ncc(C(=O)NO)cn1)(c1ccccc1)c1ccccc1,5.74,6.100661999999948,-0.3606619999999481,0.0049226321211388235,0.0,0.07052842558592225,0.17516229948769646,0.0,-0.27303111033720695,2.0509616717057195,5.480096598121202,60.6636706846161,12.393687143226153,5.948339280986494,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5070176,O=C(NO)c1cccc(/C=C/c2ccnc(-c3ccccc3O)c2)c1,5.73,5.946920000000017,-0.21692000000001688,0.006639920894497129,0.0,0.07060690128016582,0.1794876463256696,5.749511833283905,-0.37514182457322587,0.0,42.00877551204233,42.483875555975814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
CHEMBL557066,O=C(/C=C/c1ccc(-c2ccc(Cl)cc2)cc1)NO,5.73,5.836060000000015,-0.10606000000001448,0.01073001120668657,0.0,-0.12362780529843186,0.5539094650205765,0.0,-0.5539094650205765,0.0,6.076020106833881,48.53093654769288,11.556116704955084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL3901988,CCOc1ccc(C2CC(C(=O)NO)C2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,5.73,5.661112666666677,0.06888733333332375,0.013448713314336674,0.0,-0.13604137386302198,0.188142628008249,17.090617048900093,0.7270827320005921,4.3587258998537655,17.209571515943576,32.046575604766076,0.0,5.907179729351506,1.735987090852295,1.0,5.516700717616262,0.0,0.0,2.0,1.0,5.917906046161393,0.0,0.0,1.0,0.0,0.0,0.0,1.0
CHEMBL4294514,CCCN1CC(=O)N2[C@H](Cc3c(n(Cc4ccc(C(=O)NO)cc4)c4ccccc34)[C@@H]2C)C1=O,5.73,5.799692000000015,-0.06969200000001496,0.012060732572932458,0.0,-0.15885071811866291,0.007060253826126406,6.041840829147961,-0.5265676346374986,5.320745793716599,27.412650196745375,38.112942673227685,0.0,11.814359458703011,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL3982925,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(N4CCC5(CCN(c6ncc(C(=O)NO)cn6)CC5)C4)ccc3OCC)nc12,5.73,6.5001160000000064,-0.770116000000006,0.01932921801259261,1.0,0.0705237101907191,0.18274201889149433,17.090617048900093,1.120755267658235,8.034838142348985,17.209571515943576,12.990104268152233,12.393687143226153,5.948339280986494,1.777548299597088,1.0,5.516700717616262,0.0,0.0,2.0,1.0,5.41499046939678,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CHEMBL3984639,CCOc1ccc(-c2ccc(C(=O)NO)cn2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,5.73,5.727320000000013,0.002679999999987359,0.012419713253038403,0.0,0.07057089917730763,0.22456561154155263,17.090617048900093,0.29023620931275795,4.275732724393334,30.726869786183226,25.980208536304467,10.878646506758262,0.0,1.7189654403647354,1.0,5.516700717616262,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
CHEMBL4765131,COc1ccc(C(=O)NCCCC[C@H](NC(=O)c2cncs2)c2ncc(-c3ccc4ccccc4c3)[nH]2)c(O)c1,5.72,5.910719999999958,-0.19071999999995803,0.01052518340142181,0.0,0.09346512758468166,0.13636069339298063,22.200575358269035,0.42945774811188975,0.4169721968516922,23.97059348530514,18.19910120538483,30.57931755613549,0.0,1.4945435756819168,1.0,0.0,11.336785877934737,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CHEMBL4578162,Nc1ccccc1NC(=O)CCCCCN(CC(=O)NCc1ccccc1)C(=O)c1cccc2ccccc12,5.72,5.762999999999976,-0.04299999999997617,0.007269371227104989,0.0,-0.12159203593025729,0.039029524979928176,0.0,-0.4971277882370948,0.7715613146060922,23.09901093623531,78.86277189000094,0.0,11.814359458703011,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL3670667,COc1ccc(-c2cc(-c3ccccc3)[nH]c2C(=O)NCc2ccc(C(=O)Nc3ccccc3S)cc2)cc1,5.72,6.018503333333309,-0.2985033333333096,0.03382589839370035,0.0,0.09459035401705017,0.2258834204707254,11.443439828132366,0.2933133012740352,0.307488744337139,25.30889874666236,90.99550602692418,0.0,0.0,1.6227943784491696,0.0,0.0,12.628789148012991,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
