Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL4526274,,None,450.33,0,4.53,8m,O=C(CCCCCn1cc(Nc2ncc(Cl)c(Nc3ccc(Cl)cc3)n2)cn1)NO,IC50,'=',120,nM,6.92,,,UO_0000065,15.37,0.32,2.39,5.92,0,CHEMBL4347604,Inhibition of HDAC2 (unknown origin) using Boc-Lys(acetyl)-AMC as substrate preincubated for 5 mins followed by substrate addition and measured after 30 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4346670,1,Scientific Literature,J Med Chem,2019,None,,,,0.12
CHEMBL4514367,,None,250.35,0,2.15,4q,COc1ccc2c(c1)SC(=S)N1CCN=C21,IC50,'>',50000,nM,,,,UO_0000065,,,,,0,CHEMBL4409763,Inhibition of recombinant human full length C-terminal His-tagged HDAC2 expressed in baculovirus infected Sf9 cells using Boc-Lys(Ac)-AMC as substrate incubated for 1 hr by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4406872,1,Scientific Literature,Eur J Med Chem,2019,CHEMBL3308860,,,,50
CHEMBL4516558,,None,268.79,0,3.18,5c,S=C1Sc2cccc(Cl)c2C2=NCCCN12,IC50,'=',14000,nM,4.85,,,UO_0000065,18.06,0.41,1.67,31.11,0,CHEMBL4409763,Inhibition of recombinant human full length C-terminal His-tagged HDAC2 expressed in baculovirus infected Sf9 cells using Boc-Lys(Ac)-AMC as substrate incubated for 1 hr by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4406872,1,Scientific Literature,Eur J Med Chem,2019,CHEMBL3308860,,,,14
CHEMBL4588346,,None,313.25,0,3.29,5m,S=C1Sc2ccc(Br)cc2C2=NCCCN12,IC50,'>',50000,nM,,,,UO_0000065,,,,,0,CHEMBL4409763,Inhibition of recombinant human full length C-terminal His-tagged HDAC2 expressed in baculovirus infected Sf9 cells using Boc-Lys(Ac)-AMC as substrate incubated for 1 hr by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4406872,1,Scientific Literature,Eur J Med Chem,2019,CHEMBL3308860,,,,50
CHEMBL4463244,,None,252.34,0,2.67,5n,Fc1ccc2c(c1)C1=NCCCN1C(=S)S2,IC50,'>',50000,nM,,,,UO_0000065,,,,,0,CHEMBL4409763,Inhibition of recombinant human full length C-terminal His-tagged HDAC2 expressed in baculovirus infected Sf9 cells using Boc-Lys(Ac)-AMC as substrate incubated for 1 hr by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4406872,1,Scientific Literature,Eur J Med Chem,2019,CHEMBL3308860,,,,50
CHEMBL483254,PANOBINOSTAT,4,349.43,0,3.33,2; LBH-589,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,IC50,'=',13,nM,7.89,,,UO_0000065,22.57,0.41,4.56,10.22,1,CHEMBL5226419,Inhibition of HDAC2 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5226279,1,Scientific Literature,Eur J Med Chem,2021,None,,INHIBITOR,,13
CHEMBL5417416,,None,562.67,2,5.3,16,Nc1ccccc1NC(=O)c1ccc(COc2ccc(CN3C(=O)CC[C@H]3CC(=O)NCc3ccccc3)cc2)cc1,IC50,'=',217,nM,6.66,,,UO_0000065,11.84,0.22,1.36,5.86,0,CHEMBL5373083,Inhibition of human recombinant HDAC2 using Ac-Leu-Gly-Lys(Ac)-AMC as substrate preincubated with enzyme for 30 mins followed by substrate addition and measured after 90 mins by fluorescence based analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5370603,1,Scientific Literature,J Med Chem,2023,None,TIME = 2.0 hr,INHIBITOR,,217
CHEMBL4635420,,None,458.51,0,3.77,13a,O=C(O)c1ccc(COc2ccc(CNC(=O)[C@@H]3CCC(=O)N3Cc3ccccc3)cc2)cc1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL5373083,Inhibition of human recombinant HDAC2 using Ac-Leu-Gly-Lys(Ac)-AMC as substrate preincubated with enzyme for 30 mins followed by substrate addition and measured after 90 mins by fluorescence based analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5370603,1,Scientific Literature,J Med Chem,2023,None,TIME = 2.0 hr,,,
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,SAHA,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,'=',260,nM,6.58,,,UO_0000065,24.91,0.47,4.12,8.4,0,CHEMBL2059970,Inhibition of human recombinant HDAC2 using Boc-L-Lys (Ac)-AMC as substrate preincubated with compound for 24 hrs measured after 35 mins by spectrofluorometric analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2057127,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,260
CHEMBL4526892,,None,337.42,0,2.66,3b,CCCNNC(=O)c1ccc(CNC(=O)/C=C/c2ccccc2)cc1,IC50,'=',95.45,nM,7.02,,,UO_0000065,20.81,0.38,4.36,10,0,CHEMBL4681361,Inhibition of C-terminal His-tagged recombinant human HDAC2 expressed in Sf9 cells pre-incubated for 2 hrs before acetylated lysine-aminomethyl coumarin-BOC addition and measured after 2 hrs by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4680089,1,Scientific Literature,J Med Chem,2016,None,TIME = 2.0 hr,NEGATIVE ALLOSTERIC MODULATOR,,95.45
