Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL4754763,,None,439.54,0,3.74,Cpd J,CCC(=O)CCCCC[C@H](NC(=O)C1CN(C)C1)c1[nH]c(-c2ccc(F)cc2)nc1C#N,IC50,'=',117,nM,6.93,,,UO_0000065,15.77,0.3,3.19,6.8,0,CHEMBL4669387,Inhibition of HDAC2 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4665726,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,,INHIBITOR,,117
CHEMBL4797194,,None,511.62,2,5.05,Cpd T,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1[nH]c(-c2ccc(F)cc2F)nc1C#N,IC50,'=',155,nM,6.81,,,UO_0000065,13.31,0.25,1.76,6.68,0,CHEMBL4669387,Inhibition of HDAC2 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4665726,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,,INHIBITOR,,155
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,SAHA,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,'=',82,nM,7.09,,,UO_0000065,26.81,0.51,4.62,9.04,0,CHEMBL932445,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1144784,1,Scientific Literature,J Med Chem,2008,None,,,,82
CHEMBL406927,,None,495.02,1,5.95,18,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(C)=O)c3nc4ccc(Cl)cc4[nH]3)c2c1,IC50,'=',880,nM,6.06,,,UO_0000065,12.23,0.24,0.11,6.06,0,CHEMBL932445,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1144784,1,Scientific Literature,J Med Chem,2008,None,,,,880
CHEMBL139192,,None,278.35,0,2.81,TWZ 104,O=CN(O)CCCCCCCC(=O)Nc1ccccc1,IC50,'=',7800,nM,5.11,,,UO_0000065,18.35,0.35,2.3,7.33,0,CHEMBL697297,Inhibition of Histone deacetylase 2 (HDAC2) activity of HeLa nuclear extracts,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1137945,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,,7.8
CHEMBL4647458,,None,497.64,1,5,12,CN1CCC(C(=O)N[C@@H](CCCCCC(=O)c2nccs2)c2ncc(-c3ccc(F)cc3)[nH]2)CC1,IC50,'=',24,nM,7.62,,,UO_0000065,15.31,0.3,2.62,8.38,0,CHEMBL4625802,Inhibition of full length human recombinant FLAG-tagged HDAC2 expressed in baculovirus infected Sf9 cells using FLUOR DE LYS as substrate preincubated for 3 hrs followed by substrate addition and measured after 60 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4622967,1,Scientific Literature,ACS Med Chem Lett,2020,CHEMBL3308860,,,,24
CHEMBL4639586,,None,433.51,0,4.76,19,COc1nc2ccccc2cc1-c1cnc([C@@H](N)CCCCCC(=O)c2cnoc2C)[nH]1,IC50,'=',1300,nM,5.89,,,UO_0000065,13.58,0.25,1.13,4.91,0,CHEMBL4625802,Inhibition of full length human recombinant FLAG-tagged HDAC2 expressed in baculovirus infected Sf9 cells using FLUOR DE LYS as substrate preincubated for 3 hrs followed by substrate addition and measured after 60 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4622967,1,Scientific Literature,ACS Med Chem Lett,2020,CHEMBL3308860,,,,1300
CHEMBL235191,TACEDINALINE,3,269.3,0,2.48,CI994,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,IC50,'=',1920,nM,5.72,,,UO_0000065,21.23,0.39,3.24,6.79,0,CHEMBL4394938,Inhibition of human recombinant His-tagged HDAC2 (1 to 582 residues) expressed in baculovirus infected insect cells using FLUOR DE LYS Green as substrate preincubated for 10 mins followed by substrate addition and measured after 30 mins by fluorescence method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4393680,1,Scientific Literature,Eur J Med Chem,2019,None,,,,1.92
CHEMBL253868,,None,452.51,1,5.01,2a,Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,IC50,'=',72,nM,7.14,,,UO_0000065,15.78,0.29,2.13,6.72,0,CHEMBL927762,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1140803,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,,,72
CHEMBL430060,APICIDIN,None,623.8,1,3.07,Apicidin,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,IC50,'=',1,nM,9,,,UO_0000065,14.43,0.27,5.93,6.48,0,CHEMBL1166310,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1165952,1,Scientific Literature,Bioorg Med Chem,2010,None,,,,1
CHEMBL407420,,None,419.48,0,3.24,1b,Nc1ccccc1NC(=O)c1ccc(CN(CCO)Cc2ccc3c(c2)OCO3)cc1,IC50,'=',3360,nM,5.47,,,UO_0000065,13.05,0.24,2.23,5.64,0,CHEMBL1959441,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1955769,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,3.36
CHEMBL3098603,,None,278.35,0,2.78,33,Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,IC50,'=',239,nM,6.62,,,UO_0000065,23.79,0.45,3.84,8.44,0,CHEMBL3102465,Inhibition of human HDAC2 using RHKK(Ac) as substrate by fluorimetric analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3098008,1,Scientific Literature,Bioorg Med Chem Lett,2014,None,,,,239
CHEMBL487106,,None,439.49,0,3.92,14b,O=C(CCCCCCC(=O)Nc1cccc(-c2cnnn2Cc2ccc(F)cc2)c1)NO,IC50,'=',124,nM,6.91,,,UO_0000065,15.71,0.29,2.99,6.33,0,CHEMBL954936,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1150413,1,Scientific Literature,J Med Chem,2008,None,,,,124
CHEMBL487741,,None,439.49,0,3.92,12b,O=C(CCCCCCC(=O)Nc1ccc(-c2cnnn2Cc2ccc(F)cc2)cc1)NO,IC50,'=',57.4,nM,7.24,,,UO_0000065,16.48,0.31,3.32,6.63,0,CHEMBL954936,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1150413,1,Scientific Literature,J Med Chem,2008,None,,,,57.4
CHEMBL519668,,None,407.47,0,3.72,10c,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3ccccc3)nn2)c1)NO,IC50,'=',63.9,nM,7.19,,,UO_0000065,17.66,0.33,3.47,6.59,0,CHEMBL954936,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1150413,1,Scientific Literature,J Med Chem,2008,None,,,,63.9
CHEMBL594544,,None,387.42,0,0.93,3i2,O=C(NO)c1cnc(N2CCN(C(/C=C/c3ccc(F)cc3)CO)CC2)nc1,IC50,'=',17.9,nM,7.75,,,UO_0000065,20,0.38,6.82,7.61,0,CHEMBL1068528,Inhibition of human HDAC2,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1153112,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,,17.9
CHEMBL2448576,,None,477.61,0,4.28,32,CCC(=O)CCCCC[C@H](NC(=O)C1CN(C)C1)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,IC50,'=',18,nM,7.75,,,UO_0000065,16.22,0.3,3.46,7.73,0,CHEMBL1002514,Inhibition of human C-terminal FLAG-tagged HDAC2 in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1136937,1,Scientific Literature,J Med Chem,2009,CHEMBL3307715,,,,18
CHEMBL3652227,,None,248.22,0,1.48,BDBM139231,O=C(NO)c1cnc(Nc2ccc(F)cc2)nc1,IC50,'=',347,nM,6.46,,274299,UO_0000065,26.02,0.49,4.98,7.41,0,CHEMBL3707557,Enzyme Assay: Compounds for testing were diluted in DMSO to 50 fold the final concentration and a ten point three fold dilution series was made. The compounds were diluted in assay buffer (50 mM HEPES,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3670665,,None,433.49,0,4.16,BDBM119691,O=C(NO)c1ccc(CNC(=O)c2[nH]c(-c3ccc(O)cc3)cc2-c2ccsc2)cc1,IC50,'=',1393,nM,5.86,,246675,UO_0000065,13.51,0.26,1.7,5.12,0,CHEMBL3707945,Enzyme Assay: The reactions were carried out in a 96-well microplate for fluorometry in a 50 μl reaction volume. After the deacetylation reaction,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3655984,,None,320.35,0,2.87,BDBM139329,O=C(NO)c1cnc(NCc2ccc(-c3ccccc3)cc2)nc1,IC50,'=',9,nM,8.05,,274397,UO_0000065,25.12,0.46,5.18,9.23,0,CHEMBL3707557,Enzyme Assay: Compounds for testing were diluted in DMSO to 50 fold the final concentration and a ten point three fold dilution series was made. The compounds were diluted in assay buffer (50 mM HEPES,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3309300,,None,401.51,0,3.13,43,CC1(C)CC(=O)Nc2ccc(C(=O)NC[C@H]3CC[C@@H](CCC(=O)NO)CC3)cc21,IC50,'=',25,nM,7.6,,,UO_0000065,18.93,0.36,4.47,7.07,0,CHEMBL3373319,Inhibition of human HDAC2 pre-incubated for 30 mins before substrate addition and measured after 30 mins by HDAC-Glo I/II assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3351757,1,Scientific Literature,Bioorg Med Chem,2014,None,,,,0.025
CHEMBL3655993,,None,306.27,0,1.98,BDBM139338,O=C(NO)c1cnc(NC2(c3c(F)cccc3F)CC2)nc1,IC50,'=',6,nM,8.22,,274406,UO_0000065,26.85,0.51,6.24,9.44,0,CHEMBL3707557,Enzyme Assay: Compounds for testing were diluted in DMSO to 50 fold the final concentration and a ten point three fold dilution series was made. The compounds were diluted in assay buffer (50 mM HEPES,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3353927,,None,431.48,0,2.9,4,O=C1CC[C@H](C(=O)N[C@@H](CCCCCS)C(=O)Nc2cccc(C(F)(F)F)c2)N1,IC50,'=',12,nM,7.92,,,UO_0000065,18.36,0.37,5.02,9.07,1,CHEMBL3376039,Inhibition of human HDAC2 using RHKK(Ac) as substrate by fluorimetric analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3352629,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,,,12
CHEMBL5172893,,None,478.55,0,2.23,27,C[C@H]1CN(Cc2ccc(/C=C/C(=O)NO)cc2)C[C@@H]1c1nc2c(cnn2C2CCOCC2)c(=O)[nH]1,IC50,'=',1250,nM,5.9,,,UO_0000065,12.34,0.23,3.67,4.71,0,CHEMBL5113656,Inhibition of HDAC2 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5113372,1,Scientific Literature,Eur J Med Chem,2021,None,,INHIBITOR,,1250
CHEMBL3652230,,None,264.67,0,1.99,BDBM139234,O=C(NO)c1cnc(Nc2ccc(Cl)cc2)nc1,IC50,'=',231,nM,6.64,,274302,UO_0000065,25.07,0.5,4.65,7.62,0,CHEMBL3707557,Enzyme Assay: Compounds for testing were diluted in DMSO to 50 fold the final concentration and a ten point three fold dilution series was made. The compounds were diluted in assay buffer (50 mM HEPES,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2414098,,None,340.22,0,3.32,11e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2407724,,None,478.62,1,6.2,24h,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@H](c3ccccc3)[C@@H](c3ccccc3)S2)cc1,IC50,'=',425,nM,6.37,,,UO_0000065,13.31,0.25,0.17,8.01,0,CHEMBL2410098,Inhibition of recombinant His-tagged HDAC2 (1 to 488) (unknown origin) using MAL as substrate incubated for 3 hrs prior to substrate addition measured after 60 mins by fluorescence plate reader analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2407081,1,Scientific Literature,J Med Chem,2013,None,,,,0.425
CHEMBL2047615,,None,523.23,2,6.72,7c,O=C(/C=C\c1cn(-c2ccccc2)nc1-c1ccc(Br)cc1)Nc1ccc(Br)cc1,IC50,'=',4870,nM,5.31,,,UO_0000065,10.15,0.24,-1.41,11.32,0,CHEMBL2051252,Inhibition of HDAC2 in human HeLa cell lysate using KI-104 as substrate after 40 mins by fluorescence analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2046430,1,Scientific Literature,Bioorg Med Chem,2012,CHEMBL3308376,,,,4.87
CHEMBL3763444,,None,388.86,0,3.01,4m,O=C(CCCCCNc1nc(Cl)nc2c1ncn2Cc1ccccc1)NO,IC50,'=',56,nM,7.25,,,UO_0000065,18.65,0.37,4.24,6.91,0,CHEMBL3767501,Inhibition of C-terminal GST-tagged human recombinant HDAC2 expressed in Sf9 cells after 30 mins by microtiter plate reader analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3763038,1,Scientific Literature,Bioorg Med Chem,2016,CHEMBL3308860,,,,0.056
CHEMBL2012815,,None,578.75,1,3.72,15,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H](C)NC(=O)C[C@H](CC(C)C)NC(=O)[C@H](Cc2cccc3ccccc23)NC1=O,IC50,'=',290,nM,6.54,,,UO_0000065,11.3,0.21,2.82,4.9,0,CHEMBL2014424,Inhibition of recombinant human HDAC2 using Fluor-de-Lys as substrate after 30 mins by spectrophotometry,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2010669,1,Scientific Literature,ACS Med Chem Lett,2011,None,,,,290
CHEMBL1091815,,None,443.45,0,4,4e,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3cc(F)cc(F)c3)nn2)c1)NO,IC50,,,,,,Not Determined,,,,,,0,CHEMBL1101057,Inhibition of HDAC2 assessed as blockade of decorboxylation of carboxyfluorescein labeled acetylated peptide substrate after 17 hrs,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1154884,1,Scientific Literature,J Med Chem,2010,None,,,,
CHEMBL1094708,,None,422.49,0,3.3,4l,Nc1ccc(-n2cc(-c3cccc(NC(=O)CCCCCCC(=O)NO)c3)nn2)cc1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL1101057,Inhibition of HDAC2 assessed as blockade of decorboxylation of carboxyfluorescein labeled acetylated peptide substrate after 17 hrs,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1154884,1,Scientific Literature,J Med Chem,2010,None,,,,
CHEMBL5286638,,None,357.8,0,3.06,43a,O=C(/C=C/c1ccc(CN2C/C(=N\O)c3cc(Cl)ccc32)cc1)NO,IC50,'=',86,nM,7.07,,,UO_0000065,19.75,0.39,4.01,8.3,0,CHEMBL5230967,Inhibition of HDAC2 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5230103,1,Scientific Literature,Eur J Med Chem,2020,None,,INHIBITOR,,86
CHEMBL407959,,None,486.62,1,5.81,11,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(C)=O)c3ncc(-c4ccccc4)[nH]3)c2c1,IC50,'=',110,nM,6.96,,,UO_0000065,14.3,0.26,1.15,6.97,1,CHEMBL1008839,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1152225,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,,,110
CHEMBL551486,,None,269.3,0,2.36,3b,O=C(/C=C/c1ccc(-c2ccc(CO)cc2)cc1)NO,IC50,'=',220,nM,6.66,,,UO_0000065,24.72,0.45,4.3,9.57,0,CHEMBL1034714,Inhibition of HDAC2 in human HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1158371,1,Scientific Literature,Eur J Med Chem,2009,CHEMBL3308376,,,,0.22
CHEMBL541239,,None,269.34,0,3.57,11,O=C(CCCCc1ccc(-c2ccccc2)cc1)NO,IC50,'=',720,nM,6.14,,,UO_0000065,22.81,0.42,2.57,12.45,0,CHEMBL1034714,Inhibition of HDAC2 in human HeLa cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1158371,1,Scientific Literature,Eur J Med Chem,2009,CHEMBL3308376,,,,0.72
CHEMBL483254,PANOBINOSTAT,4,349.43,0,3.33,2,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,IC50,'=',13.2,nM,7.88,,,UO_0000065,22.55,0.41,4.55,10.21,1,CHEMBL4835043,Inhibition of recombinant HDAC2 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4834403,1,Scientific Literature,J Med Chem,2021,None,,INHIBITOR,,13.2
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL4870348,,None,422.49,0,2.89,Dl07,CNC(=O)CCCCCCCn1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21,IC50,'=',3.4,nM,8.47,,,UO_0000065,20.04,0.37,5.58,5.62,0,CHEMBL4844754,Inhibition of HDAC2 (unknown origin) using Ac-peptide as a substrate pretreated for 15 mins followed by substrate addition,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4842376,1,Scientific Literature,Eur J Med Chem,2021,None,TIME = 0.25 hr,INHIBITOR,,3.4
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,SAHA,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,'=',26,nM,7.58,,,UO_0000065,28.7,0.55,5.12,9.67,0,CHEMBL4844754,Inhibition of HDAC2 (unknown origin) using Ac-peptide as a substrate pretreated for 15 mins followed by substrate addition,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4842376,1,Scientific Literature,Eur J Med Chem,2021,None,TIME = 0.25 hr,INHIBITOR,,26
CHEMBL1957464,,None,436.54,0,3.79,8a,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(CNC(=O)N2CCOCC2)cc1,IC50,'=',880,nM,6.06,,,UO_0000065,13.87,0.27,2.27,6.26,0,CHEMBL1959441,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1955769,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,0.88
CHEMBL235191,TACEDINALINE,3,269.3,0,2.48,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,SAHA,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,'=',390,nM,6.41,,,UO_0000065,24.25,0.46,3.94,8.17,0,CHEMBL1246052,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1240475,1,Scientific Literature,Eur J Med Chem,2010,None,,,,0.39
CHEMBL5084881,,None,350.35,0,3.88,25,O=C(NO)c1cccc(/C=C/c2ccnc(-c3cc(F)ccc3O)c2)c1,IC50,'=',2060,nM,5.69,,,UO_0000065,16.23,0.3,1.81,6.9,1,CHEMBL5224077,Inhibition of HDAC2 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5223090,1,Scientific Literature,Eur J Med Chem,2022,None,,INHIBITOR,,2.06
CHEMBL236678,,None,213.24,0,1.92,7,Nc1ccccc1NC(=O)c1cccnc1,IC50,'=',6980,nM,5.16,,,UO_0000065,24.18,0.44,3.24,7.58,0,CHEMBL940370,Inhibition of human HDAC2 expressed in mammalian cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1152282,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,,,6980
CHEMBL2022824,,None,515.75,2,6.52,2,O=C(N[C@@H](CCCCCCSSc1ccccn1)C(=O)NC1CCCCC1)OCc1ccccc1,IC50,'=',44.1,nM,7.36,,,UO_0000065,14.26,0.29,0.84,9.16,0,CHEMBL2024763,Inhibition of HDAC2 in human HeLa cell nuclear extracts in presence of dithiothreitol by HDAC fluorescent assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2021837,1,Scientific Literature,Eur J Med Chem,2012,CHEMBL3308376,,,,0.0441
CHEMBL471042,,None,341.32,0,2.66,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL272980,MOCETINOSTAT,2,396.45,0,3.99,MGCD0103,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1,IC50,'=',180,nM,6.75,,,UO_0000065,17.01,0.31,2.75,6.37,0,CHEMBL1048395,Inhibition of recombinant C-terminal FLAG-tagged HDAC2 expressed in baculovirus after 10 mins by fluorimetric analysis,B,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1155182,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,,0.18
CHEMBL488747,,None,421.5,0,3.78,14a,O=C(CCCCCCC(=O)Nc1cccc(-c2cnnn2Cc2ccccc2)c1)NO,IC50,'=',112,nM,6.95,,,UO_0000065,16.49,0.31,3.17,6.37,0,CHEMBL954936,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1150413,1,Scientific Literature,J Med Chem,2008,None,,,,112
CHEMBL483893,,None,530.42,1,4.23,10d,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(CC(O)c3cccc(Br)c3)nn2)c1)NO,IC50,'=',64.4,nM,7.19,,,UO_0000065,13.56,0.29,2.96,5.56,0,CHEMBL954936,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1150413,1,Scientific Literature,J Med Chem,2008,None,,,,64.4
CHEMBL483892,,None,439.49,0,3.92,10b,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(Cc3ccc(F)cc3)nn2)c1)NO,IC50,'=',77.4,nM,7.11,,,UO_0000065,16.18,0.3,3.19,6.52,0,CHEMBL954936,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1150413,1,Scientific Literature,J Med Chem,2008,None,,,,77.4
CHEMBL3764561,,None,335.41,0,1.86,4i,CC(C)n1cnc2c(NCCCCCCC(=O)NO)nc(N)nc21,IC50,'=',154,nM,6.81,,,UO_0000065,20.31,0.39,4.95,5.2,0,CHEMBL3767501,Inhibition of C-terminal GST-tagged human recombinant HDAC2 expressed in Sf9 cells after 30 mins by microtiter plate reader analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3763038,1,Scientific Literature,Bioorg Med Chem,2016,CHEMBL3308860,,,,0.154
